# Phân loại từ vựng theo chủ đề. Mỗi dòng: <từ><TAB><topic_slug>
# - Khoá là CHÍNH TỪ ĐÓ (không phân biệt hoa thường), không phải cặp bài+vị trí:
#   một từ luôn có đúng một chủ đề dù xuất hiện ở nhiều bài.
# - topic_slug phải có trong topics.tsv.
# - Kiểm tra bằng: make check-vocab
word	topic_slug
exceeded	charts-trends
exception	linking-cohesion
excited	emotions-personality
exercise	daily-routine
exit	home-objects
expand (v)	academic-awl
expensive	places-city
fail	academic-awl
fall	travel-transport
fall (fell, fallen)	charts-trends
fall (v)	academic-awl
fall asleep	daily-routine
fascinating	places-city
fell short of	charts-trends
finally	time-events
finicky	emotions-personality
finish work	work-career
fish	food-drink
flexible	emotions-personality
flood	weather-nature
fluctuate	charts-trends
fly	travel-transport
followed by	charts-trends
for	time-events
forecast	weather-nature
free	academic-awl
friend	academic-awl
fruit	food-drink
furniture	home-objects
generous	emotions-personality
get dressed	daily-routine
get married	family-relationships
get promoted	family-relationships
go	travel-transport
go to bed	daily-routine
govern	academic-awl
gradually	linking-cohesion
graduate	family-relationships
great	comparison-contrast
ground floor	home-objects
grow	academic-awl
grow (grew, grown)	charts-trends
gym	places-city
handsome	appearance
happy	emotions-personality
have a baby	family-relationships
have breakfast	daily-routine
have dinner	daily-routine
heatwave	weather-nature
help	academic-awl
high	comparison-contrast
hike	leisure-hobbies
hit	daily-routine
honest	emotions-personality
hospital	places-city
hotel	places-city
humidity	weather-nature
i have mixed feelings about this, to be honest.	opinion-argument
i may be wrong about this, but...	opinion-argument
i would venture to suggest that...	opinion-argument
i'd be inclined to say that...	opinion-argument
i'm not entirely convinced that...	opinion-argument
i'm somewhat sceptical of this view...	opinion-argument
imagine	academic-awl
immediately	time-events
impatient	emotions-personality
important	academic-awl
improve	academic-awl
in 2020	time-events
in a hurry	collocations
in advance	collocations
in case	linking-cohesion
in charge of	collocations
in comparison with	charts-trends
in contrast to	charts-trends
in danger	collocations
in love (with)	collocations
in order to	linking-cohesion
in spite of	linking-cohesion
in the afternoon	time-events
in the end	collocations
in the evening	time-events
in the morning	time-events
in time	collocations
in trouble	collocations
increase	academic-awl
initially	linking-cohesion
innovative	academic-awl
inquisitive	emotions-personality
instead	linking-cohesion
introduce	academic-awl
introverted	emotions-personality
invest	academic-awl
investigate	academic-awl
it depends to a large extent on...	opinion-argument
it's difficult to say with certainty, but...	opinion-argument
jealous	emotions-personality
jump	daily-routine
just	time-events
kick	daily-routine
kind / kind-hearted	emotions-personality
kitchen	home-objects
know	academic-awl
lamp	home-objects
large	comparison-contrast
last month	time-events
last night	time-events
last week	time-events
last year	time-events
lately	time-events
lazy	emotions-personality
leave	travel-transport
level off	charts-trends
library	places-city
lift	daily-routine
link	linking-cohesion
listen	leisure-hobbies
living room	home-objects
lose	academic-awl
low	comparison-contrast
make breakfast	daily-routine
manage	academic-awl
market	places-city
meanwhile	linking-cohesion
meat	food-drink
meticulous	emotions-personality
migrate	academic-awl
milk	food-drink
mirror	home-objects
miserly	emotions-personality
modern	places-city
mountain	places-city
move	travel-transport
move house	family-relationships
muscular	appearance
museum	places-city
my instinct is that... but i acknowledge the counterargument.	opinion-argument
my overall sense is that...	opinion-argument
narrow	places-city
nation	academic-awl
neither...nor	linking-cohesion
nervous	emotions-personality
never	time-events
noisy	places-city
noodle	food-drink
nosy	emotions-personality
now	time-events
nowadays	time-events
obstinate	emotions-personality
office	home-objects
oil	food-drink
on fire	collocations
on holiday	collocations
on purpose	collocations
on sale	collocations
on the other hand	linking-cohesion
on time	collocations
on weekdays	time-events
on weekends	time-events
once a month	time-events
one could argue either way, but on balance...	opinion-argument
organize	academic-awl
otherwise	linking-cohesion
outgoing	emotions-personality
outnumbered	charts-trends
outperformed	charts-trends
overweight	appearance
owing to	linking-cohesion
pack (a bag)	daily-routine
pale	appearance
park	places-city
particularly	linking-cohesion
patient	emotions-personality
peak	charts-trends
pharmacy	places-city
plateau	charts-trends
play	leisure-hobbies
plummet	charts-trends
plunge	charts-trends
polite	emotions-personality
pollute	academic-awl
populate	academic-awl
post office	places-city
pour	weather-nature
prepare	daily-routine
pretty / beautiful	appearance
produce	academic-awl
prominent	comparison-contrast
protect (v)	academic-awl
proud	emotions-personality
provided that	linking-cohesion
pull	daily-routine
purpose	linking-cohesion
push	daily-routine
quiet	places-city
rainy	weather-nature
rapid	comparison-contrast
react	academic-awl
read	daily-routine
recently	time-events
reception	home-objects
recover (v)	academic-awl
reduce	academic-awl
regardless	linking-cohesion
relative to	charts-trends
reliable	emotions-personality
relieved	emotions-personality
remain stable	charts-trends
resist (v)	academic-awl
responsible	academic-awl
restaurant	places-city
retire	family-relationships
return	travel-transport
return home	work-career
rice	food-drink
right now	time-events
rise (rose, risen)	charts-trends
rise (v)	academic-awl
rooftop	home-objects
rude	emotions-personality
run	daily-routine
sad	emotions-personality
salt	food-drink
school	places-city
scrawny	emotions-personality
second only to	charts-trends
selfish	emotions-personality
sensitive	academic-awl
shop	leisure-hobbies
short	appearance
shower	daily-routine
shy / timid	emotions-personality
significant	academic-awl
significantly	linking-cohesion
since	time-events
sing	daily-routine
slim	emotions-personality
slim / slender	appearance
small	comparison-contrast
snowfall	weather-nature
so far	time-events
so that	linking-cohesion
soar	charts-trends
sofa	home-objects
solve	academic-awl
soon	time-events
space	home-objects
spacious	places-city
stable	academic-awl
stadium	places-city
start a business	family-relationships
start work	work-career
steadfast	emotions-personality
still	time-events
storm	weather-nature
straight	appearance
stream	leisure-hobbies
stressed	emotions-personality
stretch	daily-routine
strong	academic-awl
stubborn	emotions-personality
study abroad	family-relationships
succeed	academic-awl
suddenly	linking-cohesion
sugar	food-drink
sunny	weather-nature
supermarket	places-city
surge	charts-trends
surprised	emotions-personality
swim	daily-routine
table	home-objects
take (the bus)	work-career
tall	appearance
tanned	appearance
temperature	weather-nature
temple	places-city
tend (v)	academic-awl
the highest/lowest	charts-trends
the other day	time-events
the picture is more nuanced than it might appear...	opinion-argument
then	time-events
these days	time-events
this is contentious, but i'd argue that...	opinion-argument
this month	time-events
this week	time-events
thrifty	emotions-personality
throw	daily-routine
thunder	weather-nature
tired	emotions-personality
tomorrow	time-events
top floor	home-objects
train station	places-city
transform	academic-awl
transition	linking-cohesion
travel	leisure-hobbies
travel the world	family-relationships
twice a week	time-events
two days ago	time-events
typically	linking-cohesion
ugly	appearance
under pressure	collocations
university	places-city
unless	linking-cohesion
use	academic-awl
value	academic-awl
vegetable	food-drink
visit	travel-transport
walk	work-career
was/were on a par with	charts-trends
wash (face)	daily-routine
wash the dishes	daily-routine
watch	leisure-hobbies
watch tv	daily-routine
water	food-drink
weak	academic-awl
whereas	linking-cohesion
whether this is entirely accurate is debatable...	opinion-argument
while	charts-trends
wide	comparison-contrast
window	home-objects
windy	weather-nature
work	academic-awl
worried	emotions-personality
wrinkled	appearance
yesterday	time-events
yesterday morning	time-events
